"Factor","Chi_Square_p_value","Cramers_V"
"ag16g10",8.04524857755755e-32,0.0937084587204091
"Sex",0.0890635628654173,0.0296321474685583
"qimd19",1.42864511202668e-26,0.201343093573751
"origin2",2.37448380551033e-05,0.0439030235422299
"topqual3",3.5815721200944e-29,0.0905894186499507
"RELIGSC",5.22114167754971e-14,0.0725730293977292
"HHINC3",0.0747439692196344,0.168336952326524
"eqv5",8.70821995377156e-49,0.119237488410101
"totalwug_19",5.85577319540678e-16,0.0780245767210227
